team,first_half,second_half,extra_time
Chad,5,10,0
Paraguay,224,264,0
Russia,272,331,5
Anguilla,1,1,0
Yemen,21,35,0
Senegal,78,102,3
Sweden,244,308,2
Guyana,11,20,0
Philippines,9,18,0
Eritrea,2,2,0
Tonga,5,11,0
Djibouti,6,4,0
Malaysia,43,46,0
Singapore,36,42,0
Fiji,46,43,0
Turkey,163,208,2
United States Virgin Islands,3,4,0
Malawi,26,38,0
Iraq,111,129,2
Germany,410,466,12
CuraÃ§ao,39,14,0
Comoros,2,7,0
Cambodia,8,20,0
Afghanistan,6,7,0
Ivory Coast,129,165,2
Jordan,51,65,0
Rwanda,20,23,0
Maldives,14,23,0
Sudan,38,45,2
France,302,348,13
Turks and Caicos Islands,4,2,0
Greece,144,191,1
Kosovo,9,10,0
Sri Lanka,9,12,0
DR Congo,90,116,2
Montserrat,5,12,0
Taiwan,12,26,0
Dominica,9,10,0
British Virgin Islands,2,4,0
Algeria,111,130,3
Togo,38,45,0
SÃ£o TomÃ© and PrÃ­ncipe,2,3,0
Equatorial Guinea,13,20,1
Slovakia,111,121,1
Macau,3,10,0
Argentina,433,436,8
Wales,145,161,0
Belgium,281,299,5
Angola,43,73,0
San Marino,7,11,0
Ecuador,146,183,0
Qatar,107,133,0
Lesotho,5,7,0
Albania,68,90,0
Madagascar,25,27,0
Finland,98,157,0
New Caledonia,32,43,0
Ghana,118,139,6
Myanmar,8,11,0
Nicaragua,16,17,0
Peru,181,242,2
Benin,27,25,0
Sierra Leone,17,27,0
United States,201,258,4
India,23,31,0
Bahamas,9,9,0
Belarus,44,66,0
Malta,39,51,0
Kuwait,86,126,1
American Samoa,4,6,0
Timor-Leste,1,5,0
Somalia,0,2,0
Chile,262,283,2
Puerto Rico,20,9,1
Tajikistan,31,40,0
Martinique,3,14,0
Yemen DPR,1,3,0
Cayman Islands,3,5,0
Czechoslovakia,123,152,7
Croatia,140,166,4
Burundi,6,10,0
Bolivia,125,171,0
Nigeria,163,169,1
Andorra,13,16,0
Gabon,39,42,0
Italy,292,311,10
Suriname,31,29,0
Lithuania,39,73,0
Norway,145,192,0
Turkmenistan,34,42,1
Spain,337,422,5
Cuba,36,49,1
Mauritania,7,9,0
Tahiti,38,45,0
Guadeloupe,8,6,0
Denmark,238,265,0
Niger,16,22,0
Central African Republic,6,4,0
Bangladesh,12,24,0
Barbados,15,15,1
Iran,169,247,6
Congo,31,64,0
Liechtenstein,17,26,0
Thailand,57,76,1
Laos,8,10,2
Bhutan,3,4,0
Morocco,126,134,2
Panama,78,113,0
Cape Verde,15,19,0
Hong Kong,44,59,1
German DR,60,101,0
Venezuela,62,112,0
Ukraine,92,105,1
Israel,145,163,1
Iceland,102,116,0
Saint Kitts and Nevis,31,38,0
Oman,63,77,0
North Korea,59,64,1
South Korea,180,226,11
Cyprus,85,88,1
Palestine,25,23,0
Gibraltar,6,6,0
Uruguay,346,380,1
Mexico,315,383,10
Aruba,8,14,0
Estonia,41,70,0
Zimbabwe,31,49,0
Georgia,57,63,0
Montenegro,29,45,0
Indonesia,51,48,0
Saint Vincent and the Grenadines,37,40,0
Guatemala,81,83,0
Mongolia,5,4,0
Guam,4,5,0
Libya,33,37,0
Azerbaijan,23,44,0
Grenada,21,26,0
Armenia,46,65,0
Tunisia,130,159,0
Liberia,23,27,0
Syria,91,109,0
Honduras,123,159,0
Trinidad and Tobago,72,98,1
Saudi Arabia,142,171,1
Yugoslavia,144,159,2
Uganda,29,31,1
French Guiana,0,2,0
Namibia,23,32,0
Switzerland,207,227,0
Zambia,105,118,5
Ethiopia,32,41,2
Latvia,71,84,0
Jamaica,82,91,0
Eswatini,2,13,0
United Arab Emirates,98,115,2
Brunei,3,1,0
South Sudan,1,1,0
Saint Lucia,11,17,0
Guinea,78,92,0
Canada,102,132,1
Seychelles,2,4,0
Vietnam Republic,2,7,0
Faroe Islands,33,41,0
North Macedonia,69,83,0
Samoa,16,11,0
Uzbekistan,94,119,0
Kyrgyzstan,30,24,1
Mozambique,14,24,0
Czech Republic,146,170,0
Cook Islands,6,7,0
Brazil,455,520,5
Belize,18,17,0
Kenya,41,48,1
Gambia,11,11,0
Lebanon,49,49,1
Antigua and Barbuda,29,30,0
Slovenia,87,96,0
Dominican Republic,22,26,0
Japan,191,221,4
Tanzania,25,25,0
Botswana,19,13,0
Republic of Ireland,195,204,0
Luxembourg,54,65,0
New Zealand,137,138,0
England,321,355,7
Bosnia and Herzegovina,104,101,0
Haiti,54,75,0
China PR,130,196,4
Poland,208,262,1
Portugal,246,327,5
Australia,252,296,5
Cameroon,128,162,5
Papua New Guinea,21,26,0
Romania,224,250,2
Guinea-Bissau,7,9,0
Bulgaria,173,216,0
Solomon Islands,40,64,0
Austria,207,253,3
Nepal,11,14,0
Egypt,165,175,3
Costa Rica,161,218,1
El Salvador,100,119,2
Kazakhstan,43,63,0
Serbia,117,133,1
Burkina Faso,50,84,1
South Africa,72,64,1
Bermuda,33,51,0
Scotland,193,215,0
Bahrain,54,74,0
Colombia,158,206,2
Northern Ireland,136,152,2
Saarland,2,2,0
Hungary,244,278,5
Pakistan,5,7,0
Vanuatu,19,31,0
Mauritius,7,8,0
Moldova,45,44,0
Vietnam,33,34,0
Netherlands,304,426,1
Mali,50,65,1
