year,total_goals
2021,2051
2001,1731
2004,1655
2019,1559
2015,1511
1997,1348
2011,1328
2008,1302
2000,1140
2013,1126
1993,1123
2005,1075
2007,1024
2016,996
2017,985
1996,971
2009,965
2012,858
2003,710
1989,596
1999,576
1998,565
1992,561
1985,552
1995,545
2006,507
2022,502
2002,469
2010,467
1980,462
1981,457
2014,435
1977,425
1957,416
1994,412
1965,385
1973,380
1969,364
1991,335
1968,300
1984,295
1982,295
1983,282
1972,280
1976,266
1990,266
1978,258
1975,257
1979,255
1967,253
1986,247
1949,245
1987,236
1974,233
1988,220
1954,217
1961,214
1970,205
1971,204
1953,198
1963,192
1934,190
1959,188
1962,176
1966,175
2018,169
1960,165
1958,150
1937,123
1938,118
1947,102
1950,99
2020,97
1956,91
1945,89
1964,86
1942,81
1955,73
1930,70
1946,61
1926,55
1939,47
1927,37
1941,32
1919,27
1925,26
1929,23
1922,22
1917,21
1933,21
1916,18
1935,18
1923,18
1920,16
1924,15
1921,14
1936,8
